,title_id,director
0,81132444,Ozan Açıktan
0,80182014,Craig Brewer
0,81078456,Billy Lyons
0,81121023,Michael Steed
0,81018455,Zak Hilditch
0,81110383,Michael Steiner
0,81018183,Vlad Yudin
0,80219941,Paul Berczeller
1,80219941,Mark Radice
0,80064515,Quentin Tarantino
0,80062011,Chris Buck
1,80062011,Jennifer Lee
2,80062011,Patrick Osborne
3,80062011,Lauren MacMullan
4,80062011,John Kahrs
5,80062011,Nathan Greno
6,80062011,Byron Howard
7,80062011,Stevie Wermers
8,80062011,Dean Wellins
9,80062011,Kevin Deters
10,80062011,Roger Allers
11,80062011,Mike Gabriel
12,80062011,Mark Henn
0,81034741,Andrew Slater
0,81075461,Glen Goei
1,81075461,Gavin Yap
0,80205231,S.S. Rajamouli
0,80158919,Brian Klein
0,70299286,Katy Chevigny
1,70299286,Ross Kauffman
0,80017261,Sarik Andreasyan
0,80186796,Huw Cordey
0,81071891,Yuen Woo-ping
0,80224536,Steve Brill
0,80994444,Don Michael Paul
0,80017286,Noah Baumbach
0,70295169,Jonathan Mostow
0,80039050,Brett Haley
0,81027753,Gillian Robespierre
0,15815343,Tobe Hooper
0,70295176,Daniel Benmayor
0,81043190,Abu Bakr Shawky
0,80131240,Jedd Wider
1,80131240,Todd Wider
0,70170182,Nagesh Kukunoor
0,70082633,Priyadarshan
0,70049619,Raj Kanwar
0,80211135,Pooja Bhatt
0,70109884,Satish Kaushik
0,70176967,Nikhil Advani
0,70198040,Anees Bazmee
0,80038442,Andrew Bujalski
0,80091310,Ben Wheatley
0,70114484,Riri Riza
0,80117443,Anthony Giordano
0,80010717,Wyatt Cenac
0,81020005,Joanna Lombardi
1,81020005,Bruno Ascenzo
0,81035748,David Batty
0,80135164,Zak Hilditch
0,70167128,Jennifer Siebel Newsom
0,80118101,Heidi Ewing
1,80118101,Rachel Grady
0,80113669,Jeremy Rush
0,81094801,Luis Javier Henaine
0,81191195,Anand Kamalakar
0,80218973,Don Michael Paul
0,80235999,Eric Idle
1,80235999,Aubrey Powell
0,80215419,Anthony Giordano
0,70118860,Will Yapp
0,80017240,Eric Idle
0,70118859,Will Yapp
0,80236778,Terry Hughes
1,80236778,Ian MacNaughton
0,80236470,Roger Graef
1,80236470,James Rogan
0,699257,Terry Jones
0,80236574,Ian MacNaughton
0,80988048,Albert Sharpe
0,80039069,Leslye Headland
0,80046779,Jay Karas
0,80995687,Prakash Satam
0,60001650,Barry Sonnenfeld
0,81172848,Omoni Oboli
0,81034575,Thomas Vinterberg
0,80226951,Marcos Bucay
0,80232279,Peter Lepeniotis
0,80239666,Kim Jee-woon
0,81011973,Rajesh Touchriver
0,80144152,David Lam
0,81035749,David Batty
0,81035750,David Batty
0,81035751,David Batty
0,80148162,Timo Tjahjanto
0,80171705,Reem Kherici
0,81172729,Adze Ugah
0,81172895,Steve Gukas
0,80206910,Ciarán Foy
0,81172905,Frank Rajah Arase
0,81132442,Yılmaz Erdoğan
0,81172723,Tope Oshin
0,80990336,Daniel Sánchez Arévalo
0,81172909,Don Omope
0,80214706,Ed Perkins
0,80994011,Steven Soderbergh
0,81172902,Tope Oshin
0,80998890,Udai Singh Pawar
0,81047903,Guntur Soeharjanto
0,81026343,Thiru
0,80208635,Federico Lemos
0,70125931,Harald Zwart
0,70235768,Bruce McDonald
0,80177406,Bobcat Goldthwait
0,81081656,Bassam Tariq
0,81187847,Leslie Iwerks
0,81053240,Kim Joo-hyung
0,80043834,Ciarán Foy
0,81157840,Louie Psihoyos
0,80244900,Tom Forrest
0,80211134,Milan Luthria
0,70271601,John Crowley
0,80204433,Ranjit Tiwari
0,80089199,Tom Fassaert
0,80043049,Adam Dubin
0,80044545,Cary Joji Fukunaga
0,80070182,Aaron Hann
1,80070182,Mario Miscione
0,80176234,Ahmet Katıksız
0,80992769,Alexandros Avranas
0,81191228,Anindya Chatterjee
0,81025935,Anik Datta
0,81020508,Rajkumar Hirani
0,80201824,Ishaan Trivedi
0,80203782,Biswajeet Bora
0,80201829,Sohail Tatari
0,80126016,David Stubbs
0,80202089,Madhur Bhandarkar
0,80203789,Parveen Kumar
0,80193423,Matías Gueilburt
