,title_id,title,date_added,release_year,rating,duration,description
60,80052612,Man Up,09/04/2018,2015,R,88,"A single woman seizes an opportunity when, while standing under a train station clock, she meets a stranger who mistakes her for his blind date."
62,81054495,Mo Gilligan: Momentum,09/30/2019,2019,TV-MA,64,"Comedian Mo Gilligan blends smooth moves and sharp humor as he riffs on humble beginnings, family dynamics and the complex art of dancing in the club."
65,70212504,Big Miracle,09/30/2018,2012,PG,107,"After a reporter writes about whales trapped in the Arctic Circle, the U.S. and U.S.S.R. team up to rescue them in this tale inspired by true events."
71,80187061,The Mayor,09/30/2017,2017,TV-MA,130,"With the presidency in mind, the incumbent mayor of Seoul runs for an unprecedented third term – and will stop at nothing to keep his secrets hidden."
73,80081155,Amanda Knox,09/30/2016,2016,TV-MA,92,She was twice convicted and acquitted of murder. Amanda Knox and the people closest to her case speak out in this illuminating documentary.
75,80198585,The Debt Collector,09/03/2018,2018,TV-MA,96,"A broke martial arts instructor takes a side gig with a mobster, who pairs him with a veteran thug for a weekend of fisticuffs-fueled debt collection."
76,70233894,Act of Vengeance,09/29/2018,2010,NR,112,"Two Turkish agents are sent to New York City on a mission to capture a notorious terrorist known only as ""Dejjal"" (Arabic for Antichrist)."
77,81011955,Paradise Lost,09/29/2018,2018,TV-MA,111,"A cop moonlights as the bodyguard for a young drag queen at a nightclub, and grows closer to the family of misfit singers that perform there."
78,80128722,Gerald's Game,09/29/2017,2017,TV-MA,103,"When her husband's sex game goes wrong, Jessie – handcuffed to a bed in a remote lake house – faces warped visions, dark secrets and a dire choice."
79,80182115,Long Shot,09/29/2017,2017,TV-14,40,"When Juan Catalan is arrested for a murder he didn't commit, he builds his case for innocence around raw footage from a popular TV show. A documentary."
81,80104068,Our Souls at Night,09/29/2017,2017,TV-14,103,"After widowed neighbors Addie and Louis begin sleeping in bed together platonically to alleviate their loneliness, a real romance begins to blossom."
82,80119349,Out of Thin Air,09/29/2017,2017,TV-14,85,"Picking up 40 years after six were convicted for two strange murders in Iceland, this chilling documentary proves confessions can’t always be trusted."
