,title_id,title,date_added,release_year,rating,duration,description
2113,81033107,Alexis Viera: A Story of Surviving,03/20/2019,2019,TV-14,69,"After being shot during a robbery in Colombia and losing sensation in his legs, Uruguayan soccer star Alexis Viera finds a new sense of purpose."
2115,81048554,Imago,03/20/2019,2018,TV-PG,97,"A teen with vitiligo struggles with self-doubt and anxiety until a new schoolteacher sees her through a different lens, and urges her to do the same."
2117,80144983,100 Years: One Woman's Fight for Justice,03/20/2018,2016,TV-14,75,This documentary chronicles Elouise Cobell's long fight against the U.S. government for the gross mismanagement of mineral-rich Native American land.
2120,70105459,Contract,03/02/2019,2008,TV-MA,116,"Following the death of his wife and daughter in a terrorist attack, an ex-Indian army commando agrees to infiltrate a terrorist cell."
2121,80207444,Dear Dad,03/02/2019,2016,TV-14,83,"A father and son bond on an impromptu road trip over deep conversations, unexpected confessions, strange encounters ... and a drunken escapade."
2122,81033516,River's Edge,03/02/2019,2018,TV-MA,118,"High schooler Haruna befriends loner Yamada, then is drawn into the tangled relationship between him, a model and the girl who loves him unreasonably."
2123,81075235,Sarkar,03/02/2019,2018,TV-MA,162,A ruthless businessman’s mission to expose electoral fraud brings him into a heated and dangerous political conflict with two corrupt ministers.
2124,81072516,Sarkar,03/02/2019,2018,TV-MA,162,A ruthless businessman’s mission to expose electoral fraud brings him into a heated and dangerous political conflict with two corrupt ministers.
2125,70283202,Saving Mr. Banks,03/02/2019,2013,PG-13,126,"When Walt Disney sets his sights on obtaining the rights to the children's classic ""Mary Poppins,"" the book's author proves a tough nut to crack."
2127,80156212,Wakefield,03/02/2019,2016,R,109,"An unhappy father and lawyer quits his suburban life and vanishes into the attic above his garage, where he watches his family move on without him."
2128,70296742,War Chhod Na Yaar,03/02/2019,2013,TV-14,109,"Set in an India-Pakistan border post, this satirical but thought-provoking comedy about war deals with serious events in a humorous manner."
2129,81059944,Weapon of Choice,03/02/2019,2018,TV-MA,89,"Speaking to retailers and owners of the Glock pistol, two filmmakers shed light on the politics of violence and its implications from Chicago to Kirkuk."
2130,80095531,Zubaan,03/02/2019,2015,TV-MA,111,"A scrappy but poor boy worms his way into a tycoon's dysfunctional family, while facing his fear of music and the truth about his past."
2133,80192139,Malena Pichot: Estupidez compleja,03/02/2018,2018,TV-MA,51,"An Argentine comedian espouses the values of feminism, speaking on topics like sex, language, abortion and why it's OK to let a man buy you dinner."
2134,80192063,Natalia Valdebenito: El especial,03/02/2018,2018,TV-MA,69,"A Chilean comedian fuses activism with irreverence for a stand-up set filled with jokes about misogyny, reproductive rights and respecting women."
2135,80218656,Ravenous,03/02/2018,2017,TV-MA,104,"As a zombie plague ravages their rural Quebec town, a scrappy band of survivors join forces to flee the infected hordes in this quiet thriller."
2136,80095806,Danny Says,03/02/2017,2015,TV-MA,103,"This documentary profiles eccentric publicist Danny Fields, who helped launch the careers of innovative new artists who would become musical icons."
2137,80013550,The Salvation,03/02/2017,2014,R,92,"In the Old West, a Danish homesteader avenges the murder of his wife and son, only to unleash a gang leader's brutal fury."
2138,80058979,For Grace,03/02/2016,2015,TV-PG,92,"As chef Curtis Duffy oversees every aspect of opening his own restaurant, Grace, he recalls his turbulent childhood and difficult adult relationships."
2139,81037077,Amy Schumer Growing,03/19/2019,2019,TV-MA,61,"Amy Schumer spills on her new marriage, personal growth, making a baby and her mom's misguided advice in a special that's both raunchy and sincere."
2140,81054383,Social Animals,03/19/2019,2018,TV-MA,87,"This documentary follows a trio of teens – a daredevil photographer, an aspiring model and a lonely Ohio girl – and Instagram's impact on their lives."
2141,81047798,Tinker',03/19/2019,2018,TV-14,97,"While building a revolutionary machine outlined in his late father's journal, a recluse farmer becomes the guardian for his gifted six-year-old nephew."
2142,80189216,In Search of Fellini,03/19/2018,2017,R,103,A naive and sheltered young woman embarks on a whimsical adventure across Italy in the hopes of meeting director Federico Fellini.
2143,80092781,Monkey Up,03/19/2016,2016,PG,83,A talking monkey famous for his TV commercials dreams of breaking into real movies. But first he stumbles upon a brother and sister who need his help.
2144,81019338,All About Nina,03/18/2019,2018,R,101,"Fearless provocation has fueled stand-up comic Nina Geld's career, but a move to LA and a new love take her to new levels of honesty."
2145,80132964,Best Worst Thing That Ever Could Have Happened,03/18/2017,2016,TV-14,97,"The cast and crew of the 1981 Broadway musical ""Merrily We Roll Along"" recall joy and heartbreak during the production of a surefire hit that wasn't."
2146,80117824,Train to Busan,03/18/2017,2016,TV-MA,118,"As a zombie outbreak sweeps the country, a dad and his daughter take a harrowing train journey in an attempt to reach the only city that's still safe."
2147,80058460,He Never Died,03/18/2016,2015,R,97,A reclusive immortal who needs human flesh but tries to stay clean finds himself cast back into society by a gang of thugs and his estranged daughter.
2148,80076467,Jimmy Carr: Funny Business,03/18/2016,2016,TV-MA,62,British comedian Jimmy Carr unleashes his deadpan delivery and wickedly funny one-liners to a sold-out audience at the UK's Hammersmith Apollo.
2149,80049951,My Beautiful Broken Brain,03/18/2016,2016,TV-14,84,"After suffering a stroke at age 34, a woman documents her struggles, setbacks and eventual breakthrough as she relearns to speak, read and write."
2150,80031800,Pee-wee's Big Holiday,03/18/2016,2016,TV-PG,90,A chance encounter with a mysterious stranger (Joe Manganiello) points Pee-wee toward his destiny – and his first-ever holiday!
2151,80017171,5 Flights Up,03/17/2019,2014,PG-13,92,"A couple finds unexpected drama when, after 40 years of living in the same Brooklyn walk-up, they attempt to sell their apartment and buy a new one."
2153,80108984,Deidra & Laney Rob a Train,03/17/2017,2017,TV-14,92,"With their mother in jail and bills piling up, ambitious small-town teens Deidra and Laney plot a series of train robberies to keep themselves afloat."
2155,80135296,Naledi: A Baby Elephant's Tale,03/17/2017,2016,TV-PG,91,Scientists and animal keepers fight to save an orphaned baby elephant at a rescue camp in Botswana while struggling to defend its entire species.
2156,80158577,Pandora,03/17/2017,2016,TV-MA,137,"When an earthquake hits a Korean village housing a run-down nuclear power plant, a man risks his life to save the country from imminent disaster."
2158,70175439,A Separation,03/16/2019,2011,PG-13,123,"Amid an impasse in his marriage, a father in Tehran is beset by a bitter feud involving the family of a pious caretaker he hired for his aging dad."
2159,80204923,Benji,03/16/2018,2018,TV-PG,87,A determined dog comes to the rescue and helps heal a broken family when a young boy and his sister stumble into some serious danger.
2161,80117831,Take Your Pills,03/16/2018,2018,TV-14,88,"In a hypercompetitive world, drugs like Adderall offer students, athletes, coders and others a way to do more – faster and better. But at what cost?"
2163,80223734,Yoo Byung Jae: Too Much Information,03/16/2018,2018,TV-MA,63,"""Saturday Night Live Korea"" writer-turned-comedian Yoo Byung-jae lays bare his childhood memories and philosophy on sex in his first stand-up venture."
2164,70307848,5 to 7,03/16/2017,2014,R,97,A young novelist's life is turned upside down when a chance encounter outside a New York hotel leads to an intense affair with a diplomat's wife.
2165,70105599,Coraline,03/16/2017,2009,PG,101,Curious young Coraline unlocks a door in her family's home and is transported to a universe that strangely resembles her own – only better.
2167,60029366,Howards End,03/16/2017,1992,PG,143,"When a husband, acting in his family's ""best interest,"" does not accept his wife's deathbed wish, providence dictates that he pay for his duplicity."
2168,80100260,The Hollow Point,03/16/2017,2016,R,97,New straight-arrow sheriff Wallace finds he must join forces with brutal ex-lawman Leland to protect a troubled border town from a cartel hit man.
2169,80017170,The Riot Club,03/16/2017,2014,R,107,"After being drafted into an elite secret society, a pair of students at Oxford University see the group's extreme debauchery spiral out of control."
2170,70028197,Chicken Little,03/16/2016,2005,G,82,No one believes Chicken Little when he tries to warn of an alien invasion – so it's up to him and his misfit friends to save the world!
2171,81013990,Bombairiya,03/15/2019,2018,TV-14,108,"A PR agent trying to find her stolen phone, a politician in trouble, and a fading celebrity find their lives intertwining in unexpected, messy ways."
2172,80171678,Burn Out,03/15/2019,2017,TV-MA,104,"When his son's mom runs afoul of Paris's criminal underworld, a thrill-seeking superbike racer begins moonlighting as a drug courier to clear her debt."
2173,81074015,Chief Daddy,03/15/2019,2018,TV-14,98,"When a wealthy patriarch unexpectedly drops dead, his money-crazed family, friends and staff scramble for his billionaire fortune."
2174,81041273,Edoardo Ferrario: Temi Caldi,03/15/2019,2019,TV-MA,65,"Italian comedian Edoardo Ferrario riffs on life at 30 and unpacks the peculiarities of global travel, social media and people who like craft beer."
2175,70108985,G-Force,03/15/2019,2009,PG,88,"When a billionaire sets out to take over the world, only one special forces unit can handle the job – a squad of highly trained guinea pigs."
2176,81004374,Girl,03/15/2019,2018,R,106,Fifteen-year-old ballet dancer Lara faces physical and emotional hurdles as she prepares for gender confirmation surgery. Inspired by a true story.
2178,70045356,Jeff Dunham: Arguing with Myself,03/15/2019,2006,NR,69,"Playing straight man to partners half his size, ventriloquist Jeff Dunham – one of America's funniest comics – slays audiences across the country."
2179,70203594,Jeff Dunham: Controlled Chaos,03/15/2019,2011,TV-MA,97,"Politically incorrect and often raunchy humor pepper ventriloquist Dunham's live concert performance featuring characters Walter, Achmed and Peanut."
2180,70253171,Jeff Dunham: Minding the Monsters,03/15/2019,2012,TV-MA,80,"Jeff Dunham returns with a haunted house full of his hysterical entourage, and each character stars in its own horror movie trailer."
2181,70109657,Jeff Dunham's Very Special Christmas Special,03/15/2019,2008,TV-MA,85,"Politically incorrect, sometimes raunchy ventriloquist Jeff Dunham is joined by his irreverent cast of characters in this hilarious Christmas special."
2182,70020728,Kung Fu Hustle,03/15/2019,2004,R,99,"Sing, a mobster in 1940s China, longs to be as cool as the formally clad Axe Gang, a band of killers who rule Hong Kong, but can only pretend."
2183,81024308,Late Life: The Chien-Ming Wang Story,03/15/2019,2018,TV-14,98,Injuries sidelined the bright career of New York Yankees pitcher Chien-Ming Wang. This documentary captures his relentless battle back to the majors.
2186,81031178,Paskal,03/15/2019,2018,TV-14,115,Naval unit PASKAL is among the most elite special forces in Malaysia. But all bets are off when one of its own stages a hijacking. Based on true events.
2188,70056425,The Lives of Others,03/15/2019,2006,R,138,"As a secret police agent eavesdrops on a successful writer in East Germany in 1984, he becomes increasingly fascinated by the man's life and politics."
2189,81050198,The Student,03/15/2019,2017,TV-14,90,"When a law professor fails an ambitious student for academic dishonesty, he goes to terrifying lengths to seek revenge for more than just his grade."
2192,81034771,Twinsanity,03/15/2019,2018,TV-14,86,"When a yoga enthusiast begins to pull away from her identical twin sister and business partner, their lifelong bond turns deadly."
2193,80239442,Bilu Rakkhosh,03/15/2018,2017,TV-14,127,"Torn between his demanding corporate career, his passion for music and his turbulent family life, a man struggles to keep his inner demons in check."
2194,80238299,Chal Dhar Pakad,03/15/2018,2010,TV-14,129,"After her fat-shaming husband brings home a new lover, a wife in Maharashtra recruits a group of women to challenge him in a kabaddi match."
2195,80201814,Ek Cup Chya,03/15/2018,2009,TV-PG,120,A poor bus conductor's efforts at obtaining information about his enormous electricity bill are hindered by a corrupt system.
2196,80201604,Haapus,03/15/2018,2010,TV-14,138,The son of an astrologer faces opposition from his superstitious father regarding his scheme of launching a mango business.
2197,80192244,In This Corner of the World,03/15/2018,2016,PG-13,129,"Suzu marries into a family living outside of Hiroshima and quickly settles into her new life, until World War II challenges her ability to survive."
2198,80235957,Irada Pakka,03/15/2018,2010,TV-14,137,"Bored in their happy marriage, a couple decides to spice things up by fighting more, but their game takes the relationship on an unexpected path."
2199,80226021,Jag älskar dig: En skilsmässokomedi,03/15/2018,2016,TV-MA,91,"Tired of her passionless marriage, Marianne wants a separation from her husband, Gustav, who, in response, decides to make a big change of his own."
2201,80147758,Kills on Wheels,03/15/2018,2016,TV-MA,103,"Two young men with disabilities befriend a hitman in a wheelchair and become his helpers, only to wind up in the crosshairs of a Serbian mobster."
2202,80201608,Lalbaug Parel: Zali Mumbai Sonyachi,03/15/2018,2010,TV-MA,145,Industrial workers struggle against the greed of their employers and the apathy of the government toward the conditions in which they live and work.
2203,80241537,Little Lunch: The Halloween Horror Story,03/15/2018,2016,TV-Y7,23,"When the class puts on a Halloween play about a boy who leaves behind his friends for a scary new place, it hits too close to home for one student."
2204,80241616,Little Lunch: The Nightmare Before Graduation,03/15/2018,2016,TV-Y7,25,Mrs. Gonsha's students are excited about the end of primary school – until they discover that a classmate might not move on with them.
2205,80239642,Mango Dreams,03/15/2018,2016,TV-14,92,"Concerned that dementia will soon steal his most cherished memories, a Hindu doctor hires a Mulsim rickshaw driver to take him to his childhood home."
2206,80239988,Martyrs of Marriage,03/15/2018,2016,TV-14,83,This documentary reveals the cracks in India's anti-dowry act and gives voice to both women and men who've been victimized by the law's abusers.
2208,70041893,"Pizza, birra, faso",03/15/2018,1998,TV-MA,81,A group of hardscrabble young thieves in Argentina decide to leave their boss and plan heists on their own.
2209,80238298,Ranbhool,03/15/2018,2010,TV-MA,115,"Believing himself to be God's envoy, a troubled young man embarks on a killing spree as his passion for music becomes a psychotic obsession."
2211,80238400,Satrangi Re,03/15/2018,2012,TV-14,150,"Friends in their last year of college contemplate the future of their band as they juggle questions of love, work, family and identity."
2213,80239738,Sthaniya Sambaad,03/15/2018,2010,TV-14,106,"In post-Partition Kolkata, a young Bengali poet from an urban colony wanders the city in search of the woman he loves and a channel for his sorrows."
2215,80237300,The Art of Loving,03/15/2018,2017,TV-MA,115,"During Communist rule, a Polish gynecologist and sexologist defies taboo and fights to publish her groundbreaking book on love and sex."
2216,60021758,Asoka,03/15/2017,2001,R,168,This elaborate Bollywood epic dramatizes one man's transformation from a vengeful and cunning warrior into a legendary leader and teacher of Buddhism.
2217,70095265,"Bon Cop, Bad Cop",03/15/2017,2006,R,117,An English-speaking officer from Toronto and a French-speaking cop from Montreal are forced to work together to solve a crime.
2218,80164075,"Les Bleus - Une autre histoire de France, 1996-2016",03/15/2017,2016,TV-MA,103,"This documentary charts 20 years of the French national soccer team, Les Bleus, whose ups and downs have mirrored those of French society."
2219,80117240,Namour,03/15/2017,2016,NR,80,"Aimless valet driver Steven Bassem can't find the motivation to get a better job, even when his fractious immigrant family starts falling apart."
2220,80098842,Notes on Blindness,03/15/2017,2016,TV-PG,87,"Based on the audio diaries of academic and theologian John Hull, this film offers an impressionistic re-creation of his slow descent into blindness."
2221,80156935,One 2 Ka 4,03/15/2017,2001,TV-14,160,"When his partner is killed, a young cop is forced to care for the man's four children, and solicits the help of a woman who moves in with them."
2222,80102080,Ottaal,03/15/2017,2014,TV-PG,88,"Young orphan Kuttappayi goes to live with his grandfather in the country, but his new life takes a hard turn when his grandfather's health fails."
2223,80092884,Sunrise,03/15/2017,2014,TV-MA,85,"While investigating a child kidnapping, a Mumbai police inspector is haunted by a shadowy dream figure and memories of his own abducted daughter."
2224,80023794,Marvel & ESPN Films Present: 1 of 1: Genesis,03/15/2015,2014,TV-PG,77,"This documentary explores the connections between elite athletes and Marvel superheroes such as Spider Man, Black Widow and Captain America."
2226,81060041,12 ROUND GUN,03/14/2019,2017,TV-MA,90,"Dealing with personal demons and the death of his son, a prizefighter attempts a return to the ring by challenging his rival to a 12-round rematch."
2227,70090072,A Love Story,03/14/2019,2007,TV-14,117,"Self-made millionaire Ian thinks he's found happiness when he marries caring Joanna, but his love is put to the test when he meets stewardess Karyn."
2228,80145621,Barcelona: A Love Untold,03/14/2019,2016,TV-14,132,"While pursuing a degree in Spain, an architecture student struggling with grief meets a fellow expatriate trying to flee a difficult family life."
2229,80100268,Everything About Her,03/14/2019,2016,TV-MA,127,A hard-driving real estate tycoon who becomes ill with cancer hires a medical caretaker who helps her begin to mend fences with her estranged son.
2230,80206696,Finally Found Someone,03/14/2019,2017,TV-14,125,"After a woman is very publicly left at the altar, the PR expert hired to fix the situation winds up falling in love with her."
2231,81010870,Seven Sundays,03/14/2019,2017,TV-MA,128,"A dying father asks his busy and grown children to spend their Sundays with him, forcing his family to confront their issues before it's too late."
2232,80226234,Steel Rain,03/14/2018,2018,TV-MA,140,"Amid a coup, a North Korean agent escapes south with the country's injured leader in an attempt to keep him alive and prevent a Korean war."
2233,80081274,Angry Indian Goddesses,03/14/2017,2015,TV-MA,104,"A photographer invites a close-knit group of female pals to her Goa home to announce her engagement, which stirs up a riot of emotion in all of them."
2235,80134967,Jim Norton: Mouthful of Shame,03/14/2017,2017,TV-MA,62,"In this unrestricted jaunt through a gleefully filthy mind, comic Jim Norton offers a personal perspective on romance, desire and sexual proclivities."
2239,80192187,Triple Frontier,03/13/2019,2019,R,126,"Loyalties are tested when five former special forces operatives reunite to steal a drug lord's fortune, unleashing a chain of unintended consequences."
2241,80189653,Ricky Gervais: Humanity,03/13/2018,2018,TV-MA,79,"In his first special in seven years, Ricky Gervais slings his trademark snark at celebrity, mortality and a society that takes everything personally."
2242,80135585,Stretch Armstrong: The Breakout,03/13/2018,2018,TV-Y7-FV,104,"Villains are rampaging through Charter City and the Flex Fighters – Jake, Ricardo and Nathan – need your help to halt the chaos."
2245,80214087,Jimmy Carr: The Best of Ultimate Gold Greatest Hits,03/12/2019,2019,TV-MA,58,Nothing is off limits as Jimmy Carr serves up the most outrageous jokes from his stand-up career in a special that's not for the faint of heart.
2246,80216664,Kygo: Live at the Hollywood Bowl,03/12/2018,2017,TV-MA,52,Join Norwegian electronic music superstar Kygo onstage and behind the scenes as he performs at the famed L.A. venue with a bevy of special guests.
2247,80017535,Troy: The Odyssey,03/12/2018,2017,TV-MA,90,"Starting with the Trojan Horse attack, this modest re-telling of Homer's epic covers well-known highlights of Odysseus's long journey home."
2250,80219917,Bad Match,03/11/2018,2017,TV-MA,83,A player who uses the internet to facilitate his womanizing ways is tormented when he spurns a persistent woman who won't take no for an answer.
2251,80174144,Bitch,03/11/2018,2017,R,97,"Cracking under the demands of children and a philandering, thankless husband, an overworked suburban mother assumes the persona of a ferocious dog."
2253,80220677,Nails,03/10/2018,2017,TV-MA,85,"Recently paralyzed in a devastating car accident, Dana begins to suspect a dark and sinister force may be lurking within her hospital room."
2254,80229829,"Septiembre, un llanto en silencio",03/10/2018,2017,TV-MA,69,"After a terrorist attack in Guatemala, a baby is rendered deaf and motherless and her father is left to raise her alone."
2255,80141173,100 Meters,03/10/2017,2016,TV-MA,109,"A man who is diagnosed with multiple sclerosis responds by training for an Ironman triathlon, with his cranky father-in-law's help."
2256,80134515,Bana Masal Anlatma,03/10/2017,2015,TV-14,103,"Minibus driver Riza is a steady presence in his close-knit neighborhood, until he brings home a dreamy beauty and throws everything into chaos."
2257,80134521,Berlin Kaplani,03/10/2017,2012,TV-14,99,"After a losing streak puts him in debt of 50,000 euros to his sponsors, an unlikely Turkish-German boxer in Berlin finds himself in need of a miracle."
2259,80097003,Burning Sands,03/10/2017,2017,TV-MA,102,Promising student Zurich opens his eyes to some hard truths when his fraternity's violent hazing escalates into a disastrous hell night.
2260,80134516,Çarsi Pazar,03/10/2017,2015,TV-14,97,The slacker owner of a public bath house rallies his community to save it when a big developer comes to town to close it down and open a new mall.
2261,80134606,Çok Filim Hareketler Bunlar,03/10/2017,2010,TV-MA,99,"Vignettes of the summer holidays follow vacationers as they battle mosquitoes, suffer ruined plans and otherwise hit snags in their precious time off."
2262,80134518,Dedemin Fisi,03/10/2017,2016,TV-14,101,"When a brain-dead family patriarch is about to be taken off life support, his extended family gathers round and plots to see who'll get his money."
2263,80134330,Deliha,03/10/2017,2014,TV-14,102,"Short on sense but long on self-confidence, dotty Deliha sets her sights on a hunky photographer who opens up shop in her neighborhood."
2264,80038298,Düğün Dernek,03/10/2017,2013,TV-PG,102,"On the first day of Ramadan, Ismail joins friends on a road trip to a mosque and encounters his son, who, to Ismail's chagrin, plans a hasty wedding."
2265,80134500,Dügün Dernek 2: Sünnet,03/10/2017,2015,TV-MA,107,Ismail and his old screwball crew land themselves in hot water when his grandson's circumcision evolves into a buzz-making citywide event.
2266,80038353,Eyyvah Eyyvah,03/10/2017,2010,TV-MA,99,"A clarinet player who lives with his grandparents in a small village is forced to move to Istanbul, where he meets a singer enjoying sudden fame."
2267,80038354,Eyyvah Eyyvah 2,03/10/2017,2011,TV-PG,106,"Hüseyin has found his father, and now has one more mission – to get together with the girl of his dreams, with a little help from his new friend."
2268,80038439,Eyyvah Eyyvah 3,03/10/2017,2014,TV-PG,103,"Life is tough for Hüseyin after marrying his true love. He works day and night to support his growing family, while singer Firuzan copes with fame."
2269,80038440,G.O.R.A,03/10/2017,2004,TV-MA,123,"Carpet dealer and UFO photo forger Arif is abducted by aliens. On the planet Gora, he helps friends escape from a meteorite strike and find freedom."
2270,80134604,Hayat Öpücügü,03/10/2017,2015,TV-14,98,"High-strung Metin finally stops seeing doom and gloom around every corner when he meets vivacious Hayat, but she has her own soul-searching to do."
2271,80134524,Hokkabaz,03/10/2017,2006,TV-MA,118,"Trying to resurrect his career, not-so-talented magician Iskender goes on tour, but things get iffy when one of his illusions works a little too well."
2272,80038355,Hükümet Kadin,03/10/2017,2013,TV-MA,100,"When an uneducated mother of eight suddenly becomes mayor, she uses the skills she's learned as a housewife to keep her town running like clockwork."
2273,80038441,Hükümet Kadin 2,03/10/2017,2013,TV-14,101,"In 1949, with freedoms threatened, housewife Hükümet is unaware of her future life in politics as she faces off with liar and mayoral hopeful Faruk."
2274,80134433,Incir Receli 2,03/10/2017,2014,TV-14,103,"Grief-stricken over the death of his true love, singer-songwriter Metin has given up on life, until he meets Gizem, who slowly reawakens his heart."
2275,80134436,Kara Bela,03/10/2017,2015,TV-14,101,The uneventful life of middle-aged Kudret turns upside down when a road trip turns into a wild race for survival with killers in hot pursuit.
2276,80134514,Kocan Kadar Konus,03/10/2017,2015,TV-14,104,A 30-year-old who's never taken the traditional path to love is tutored by her friends and family before reconnecting with her high school crush.
2277,80134398,Kocan Kadar Konus 2: Dirilis,03/10/2017,2016,TV-14,104,"Efsun has found Mr. Right in Sinan, and their relationship is taking a serious turn. But their eccentric families quickly complicate the romance."
2278,80134520,Kurtulus Son Durak,03/10/2017,2012,TV-MA,100,"When a recently single psychologist moves to a new neighborhood, she finds friendship with women starting to rebel against years of domestic abuse."
2279,80134420,Mucize,03/10/2017,2015,TV-14,136,"Sent away from his family to a remote mountain town, teacher Mahir helps the villagers build a school – and inspires a path to hope for them all."
2280,80134501,Niyazi Gül Dörtnala,03/10/2017,2015,TV-14,102,"Seeking the formula behind a magical elixir bequeathed to him by his father, a veterinary professor gets embroiled in a mobster's horse-racing scheme."
2282,80134399,Patron Mutlu Son Istiyor,03/10/2017,2014,TV-MA,105,"Sent to a remote village to write a screenplay, Sinan finds inspiration to spare in colorful locals, farcical misadventures and the craziness of love."
2283,80160127,Refugee,03/10/2017,2016,TV-PG,24,Five acclaimed photographers travel the world to provide detailed insight into the difficult conditions faced by refugees who dream of a better life.
2284,80134438,Romantik Komedi,03/10/2017,2010,NR,110,"Bored with her life and inspired by a friend's wedding, Esra quits her job and dumps her boyfriend, leading to a series of romantic misadventures."
2285,80134435,Romantik Komedi 2: Bekarlığa Veda,03/10/2017,2013,TV-14,105,"Didem tries everything to get actor Cem to propose to her, but he's got other things on his mind: a beautiful new co-star and a secret bachelor party."
2286,80134519,Sadece Sen,03/10/2017,2014,TV-MA,105,"An ex-boxer falls in love with a blind woman and starts to build a new life, but his violent past returns to endanger them both."
2287,80134434,Sen Kimsin?,03/10/2017,2012,TV-14,102,"Desperate for cash, klutzy private investigator Tekin searches for a wealthy woman's missing girl but faces one surprise and mishap after another."
2288,80160357,The Boss's Daughter,03/10/2017,2015,TV-MA,98,"While working together, a married textile foreman and his boss’s daughter have a torrid love affair, stirring up hostility among the factory crew."
2289,70299745,The Butterfly's Dream,03/10/2017,2013,TV-PG,118,"Forced to work in a coal mine during World War II, two young poets find some escape when they both fall for the same woman."
2290,80038527,Vizontele,03/10/2017,2001,NR,106,"In 1974, a rural town in Anatolia gets its first television set – an event that's met with both excitement and trepidation by the villagers."
2291,80038445,Vizontele Tuuba,03/10/2017,2004,NR,106,"With civil war looming, a TV-obsessed Turkish town is bemused when a bureaucrat and his daughter arrive to modernize their library."
2292,81059183,"2,215",03/01/2019,2018,TV-14,89,"This intimate documentary follows rock star Artiwara Kongmalai on his historic, 2,215-kilometer charity run across Thailand in 2017."
2293,81024332,An Interview with God,03/01/2019,2018,TV-PG,97,"After an assignment in a war zone, a journalist trying to put his life back together is granted an interview with someone claiming to be God."
2294,81059444,BNK48: Girls Don't Cry,03/01/2019,2018,TV-PG,108,"Members of the Thai idol girl group BNK48 open up about their experiences beyond the spotlight, their training and the nature of fame."
2295,80987464,Budapest,03/01/2019,2018,TV-MA,103,"Two best friends put their careers and marriages on the line when they launch a business hosting outrageous, anything-goes bachelor parties in Hungary."
2296,80156925,Christmas in the Smokies,03/01/2019,2015,TV-G,88,"In the Smoky Mountains, an ambitious woman works to save her family's historic berry farm as her ex, a country music star, returns to town."
2298,60002907,"Crouching Tiger, Hidden Dragon",03/01/2019,2000,PG-13,120,A young woman in ancient China longs for an adventurous life rather than a dull arranged marriage in Ang Lee's Oscar-winning martial arts epic.
2299,80207473,Dead in a Week (Or Your Money Back),03/01/2019,2018,TV-MA,90,"After several failed attempts at taking his own life, a young man hires an aging assassin who’ll do anything to fend off retirement."
2301,80990534,Haunting on Fraternity Row,03/01/2019,2018,TV-MA,99,"When a fraternity's last big luau serves up horrible deaths to its partygoers, the brothers learn firsthand about their house’s frightening history."
2302,70111265,Hulk Vs.,03/01/2019,2009,PG-13,83,This action-packed animated double feature pits the Hulk against two of the Marvel Universe's most powerful characters: Wolverine and Thor.
2303,70024098,Junebug,03/01/2019,2005,R,107,"When a big-city art dealer travels to North Carolina to meet her new husband's small-town family, their trip gives rise to a multitude of problems."
2304,80071907,Kilo Two Bravo,03/01/2019,2014,R,109,"On patrol in Afghanistan, a British paratrooper unit unwittingly ventures into a dry riverbed that turns out to be littered with land mines."
2305,70020730,Layer Cake,03/01/2019,2004,R,105,A seasoned British drug dealer longs to ditch his illegal trade. But he can't do that without wrapping up just one more job.
2308,80057137,Pants on Fire,03/01/2019,2014,TV-G,87,Jealous girlfriends and aliens are just some of the things Jack lied about to become popular. Now the lies are coming to life and ruining everything.
2309,81045720,Paranormal Investigation,03/01/2019,2018,TV-MA,93,"When a young man becomes possessed after playing a Ouija game, a ghost hunter investigates the evil spirit dwelling within him."
2310,70236016,Radio Rebel,03/01/2019,2012,TV-G,90,"Shy student Tara has a secret identity: She is smooth-talking Radio Rebel, a DJ who lends her voice to all kids, popular and unpopular alike."
2311,81069249,Room for Rent,03/01/2019,2017,TV-MA,89,"To save his parents’ home, a lottery-squandering 32-year-old man sublets a room to a disarmingly creepy tenant."
2312,81083971,Sarvam Thaala Mayam (Tamil Version),03/01/2019,2018,TV-14,131,"An aspiring musician battles age-old caste divides to be able to learn the art of a classical instrument from a traditionalist, veteran percussionist."
2313,80200047,The Boy Who Harnessed the Wind,03/01/2019,2019,TV-14,114,"Inspired by a science book, 13-year-old William Kamkwamba builds a wind turbine to save his Malawian village from famine. Based on a true story."
2314,80156772,The Christmas Project,03/01/2019,2016,TV-PG,92,Four brothers prepare for war when they're forced to deliver secret holiday gifts to the school bullies. But they soon learn kindness goes a long way.
2315,81016361,The Incredible Story of the Giant Pear,03/01/2019,2018,TV-G,75,"Sebastian the elephant and his feline friend Mithco sail on a gigantic peach to rescue Sunnytown's beloved mayor, who's stranded on a mysterious island."
2316,81055395,The Last Runway,03/01/2019,2018,TV-MA,107,An ex-colonel forms a special paramilitary group focused on combatting drug trafficking on the Paraguayan border.
2317,70077556,The Spiderwick Chronicles,03/01/2019,2008,PG,97,"When city-raised twins move to a tumbledown country mansion, it's quite an adjustment – especially after they uncover a magical fantasy world."
2319,70100412,Tyson,03/01/2019,2008,R,90,"In this surprisingly emotional documentary, heavyweight champ Mike Tyson analyzes the controversies surrounding his career and turbulent private life."
2320,60021299,Wet Hot American Summer,03/01/2019,2001,R,98,"Everyone wants a final shot at action on the last day at Camp Firewood, in this campy 1980s summer-camp spoof from the creators of ""The State."""
