,title_id,country
0,80191665,United States
0,80161921,United States
0,81148672,United States
0,81169914,United States
0,81211714,United States
0,80224362,France
1,80224362,Belgium
2,80224362,China
3,80224362,United States
0,80092857,Canada
0,80244679,Mexico
1,80244679,United States
0,81110394,United Kingdom
0,80067754,United States
1,80067754,Indonesia
0,80189954,Canada
0,80094648,Canada
1,80094648,United States
0,80066073,United Kingdom
1,80066073,Germany
2,80066073,Canada
0,80123740,France
0,80123741,France
1,80123741,Belgium
0,80094260,Canada
0,80123742,France
0,81000863,United States
0,70082255,Hong Kong
1,70082255,China
0,80197912,United States
0,80117454,United States
0,80095197,Spain
0,80045783,United States
0,81185502,China
0,81123469,United States
0,80990221,Russia
1,80990221,Poland
2,80990221,Serbia
0,80202352,Serbia
1,80202352,United States
0,80235268,Spain
1,80235268,Portugal
0,80992500,Colombia
0,80241061,United States
1,80241061,United Kingdom
0,80185048,United States
1,80185048,Czech Republic
0,81025088,India
0,80173479,United States
0,80081372,Israel
1,80081372,United States
0,81136744,United States
0,80221210,Brazil
0,81132444,Turkey
0,80182014,United States
0,81010786,Spain
0,81078456,United States
1,81078456,United Kingdom
2,81078456,Germany
0,81105406,Argentina
0,81061828,France
0,81062582,Spain
0,81017316,United States
0,81018455,United States
0,81110383,Switzerland
0,81200228,China
0,70218316,United States
0,81018183,United States
0,80219941,United Kingdom
0,80064515,United States
0,80062011,United States
0,80197462,United States
0,81034741,United States
0,81075461,Singapore
1,81075461,Malaysia
0,80205231,India
0,80235864,United Kingdom
0,80158919,United Kingdom
0,80135414,United States
0,70299286,United States
0,80017261,Canada
1,80017261,Luxembourg
0,81038022,United States
0,80186796,United States
0,81071891,Hong Kong
1,81071891,China
0,80224536,United States
0,81017545,China
0,80994444,United States
0,80017286,United States
0,70295169,United States
1,70295169,Spain
2,70295169,Germany
0,80039050,United States
0,81027753,United States
0,15815343,United States
0,70295176,United States
0,81043190,Egypt
1,81043190,Austria
2,81043190,United States
0,80131240,United States
0,70170182,India
0,70082633,India
0,70049619,India
0,80211135,India
0,70109884,India
0,70176967,India
0,70198040,India
0,80038442,United States
0,80091310,United Kingdom
0,70114484,Indonesia
0,80066079,United States
0,80117443,United States
0,80010717,United States
0,81020005,Peru
0,81035748,United Kingdom
1,81035748,United States
2,81035748,Morocco
0,80135164,United States
0,70167128,United States
0,80118101,United States
0,80184569,United States
0,80113669,United States
